gid:1, code:999999, symbol:上证指数 
gid:101, code:999998, symbol:Ａ股指数 
gid:201, code:999997, symbol:Ｂ股指数 
gid:301, code:999996, symbol:工业指数 
gid:401, code:999995, symbol:商业指数 
gid:501, code:999994, symbol:地产指数 
gid:601, code:999993, symbol:公用指数 
gid:701, code:999992, symbol:综合指数 
gid:801, code:990009, symbol:上证380 
gid:901, code:999991, symbol:上证180 
gid:1001, code:999990, symbol:基金指数 
gid:1101, code:999989, symbol:国债指数 
gid:1201, code:999988, symbol:企债指数 
gid:1301, code:999986, symbol:红利指数 
gid:1401, code:999987, symbol:上证50 
gid:1501, code:990017, symbol:新综指 
gid:1601, code:990018, symbol:180金融 
gid:1701, code:990019, symbol:治理指数 
gid:1801, code:990020, symbol:中型综指 
gid:1901, code:990021, symbol:180治理 
gid:2001, code:990022, symbol:沪公司债 
gid:2101, code:990025, symbol:180基建 
gid:2201, code:990026, symbol:180资源 
gid:2301, code:990027, symbol:180运输 
gid:2401, code:990028, symbol:180成长 
gid:2501, code:990029, symbol:180价值 
gid:2601, code:990030, symbol:180R成长 
gid:2701, code:990031, symbol:180R价值 
gid:2801, code:990032, symbol:上证能源 
gid:2901, code:990033, symbol:上证材料 
gid:3001, code:990034, symbol:上证工业 
gid:3101, code:990035, symbol:上证可选 
gid:3201, code:990036, symbol:上证消费 
gid:3301, code:990037, symbol:上证医药 
gid:3401, code:990038, symbol:上证金融 
gid:3501, code:990039, symbol:上证信息 
gid:3601, code:990040, symbol:上证电信 
gid:3701, code:990041, symbol:上证公用 
gid:3801, code:990042, symbol:上证央企 
gid:3901, code:990043, symbol:超大盘 
gid:4001, code:990044, symbol:上证中盘 
gid:4101, code:990045, symbol:上证小盘 
gid:4201, code:990046, symbol:上证中小 
gid:4301, code:990047, symbol:上证全指 
gid:4401, code:990048, symbol:责任指数 
gid:4501, code:990049, symbol:上证民企 
gid:4601, code:990050, symbol:50等权 
gid:4701, code:990051, symbol:180等权 
gid:4801, code:990052, symbol:50基本 
gid:4901, code:990053, symbol:180基本 
gid:5001, code:990054, symbol:上证海外 
gid:5101, code:990055, symbol:上证地企 
gid:5201, code:990056, symbol:上证国企 
