gid:0, code:000001, symbol:平安银行 
gid:100, code:000002, symbol:万 科Ａ 
gid:200, code:000004, symbol:国农科技 
gid:300, code:000005, symbol:世纪星源 
gid:400, code:000006, symbol:深振业Ａ 
gid:500, code:000007, symbol:全新好 
gid:600, code:000008, symbol:神州高铁 
gid:700, code:000009, symbol:中国宝安 
gid:800, code:000010, symbol:美丽生态 
gid:900, code:000011, symbol:深物业A 
gid:1000, code:000012, symbol:南 玻Ａ 
gid:1100, code:000014, symbol:沙河股份 
gid:1200, code:000016, symbol:深康佳Ａ 
gid:1300, code:000017, symbol:深中华A 
gid:1400, code:000018, symbol:神州长城 
gid:1500, code:000019, symbol:深深宝Ａ 
gid:1600, code:000020, symbol:深华发Ａ 
gid:1700, code:000021, symbol:深科技 
gid:1800, code:000022, symbol:深赤湾Ａ 
gid:1900, code:000023, symbol:深天地Ａ 
gid:2000, code:000025, symbol:特 力Ａ 
gid:2100, code:000026, symbol:飞亚达Ａ 
gid:2200, code:000027, symbol:深圳能源 
gid:2300, code:000028, symbol:国药一致 
gid:2400, code:000029, symbol:深深房Ａ 
gid:2500, code:000030, symbol:富奥股份 
gid:2600, code:000031, symbol:中粮地产 
gid:2700, code:000032, symbol:深桑达Ａ 
gid:2800, code:000034, symbol:神州数码 
gid:2900, code:000035, symbol:中国天楹 
gid:3000, code:000036, symbol:华联控股 
gid:3100, code:000037, symbol:深南电A 
gid:3200, code:000038, symbol:深大通 
gid:3300, code:000039, symbol:中集集团 
gid:3400, code:000040, symbol:东旭蓝天 
gid:3500, code:000042, symbol:中洲控股 
gid:3600, code:000043, symbol:中航地产 
gid:3700, code:000045, symbol:深纺织Ａ 
gid:3800, code:000046, symbol:泛海控股 
gid:3900, code:000048, symbol:康达尔 
gid:4000, code:000049, symbol:德赛电池 
gid:4100, code:000050, symbol:深天马Ａ 
gid:4200, code:000055, symbol:方大集团 
gid:4300, code:000056, symbol:皇庭国际 
gid:4400, code:000058, symbol:深 赛 格 
gid:4500, code:000059, symbol:华锦股份 
gid:4600, code:000060, symbol:中金岭南 
gid:4700, code:000061, symbol:农 产 品 
gid:4800, code:000062, symbol:深圳华强 
gid:4900, code:000063, symbol:中兴通讯 
gid:5000, code:000065, symbol:北方国际 
gid:5100, code:000066, symbol:中国长城 
gid:5200, code:000068, symbol:华控赛格 
gid:5300, code:000069, symbol:华侨城Ａ 
gid:5400, code:000070, symbol:特发信息 
gid:5500, code:000078, symbol:海王生物 
gid:5600, code:000088, symbol:盐 田 港 
gid:5700, code:000089, symbol:深圳机场 
gid:5800, code:000090, symbol:天健集团 
gid:5900, code:000096, symbol:广聚能源 
gid:6000, code:000099, symbol:中信海直 
gid:6100, code:000100, symbol:TCL 集团 
gid:6200, code:000150, symbol:宜华健康 
gid:6300, code:000151, symbol:中成股份 
gid:6400, code:000153, symbol:丰原药业 
gid:6500, code:000156, symbol:华数传媒 
gid:6600, code:000157, symbol:中联重科 
gid:6700, code:000158, symbol:常山股份 
gid:6800, code:000159, symbol:国际实业 
gid:6900, code:000166, symbol:申万宏源 
gid:7000, code:000301, symbol:东方市场 
gid:7100, code:000333, symbol:美的集团 
gid:7200, code:000338, symbol:潍柴动力 
gid:7300, code:000400, symbol:许继电气 
gid:7400, code:000401, symbol:冀东水泥 
gid:7500, code:000402, symbol:金 融 街 
gid:7600, code:000403, symbol:ST生化 
gid:7700, code:000404, symbol:华意压缩 
gid:7800, code:000407, symbol:胜利股份 
gid:7900, code:000408, symbol:藏格控股 
gid:8000, code:000409, symbol:山东地矿 
gid:8100, code:000410, symbol:*ST沈机 
gid:8200, code:000411, symbol:英特集团 
gid:8300, code:000413, symbol:东旭光电 
gid:8400, code:000415, symbol:渤海金控 
gid:8500, code:000416, symbol:民生控股 
gid:8600, code:000417, symbol:合肥百货 
gid:8700, code:000418, symbol:小天鹅Ａ 
gid:8800, code:000419, symbol:通程控股 
gid:8900, code:000420, symbol:吉林化纤 
gid:9000, code:000421, symbol:南京公用 
gid:9100, code:000422, symbol:湖北宜化 
gid:9200, code:000423, symbol:东阿阿胶 
gid:9300, code:000425, symbol:徐工机械 
gid:9400, code:000426, symbol:兴业矿业 
gid:9500, code:000428, symbol:华天酒店 
gid:9600, code:000429, symbol:粤高速Ａ 
gid:9700, code:000430, symbol:张家界 
gid:9800, code:000488, symbol:晨鸣纸业 
gid:9900, code:000498, symbol:山东路桥 
gid:10000, code:000501, symbol:鄂武商Ａ 
gid:10100, code:000502, symbol:绿景控股 
gid:10200, code:000503, symbol:海虹控股 
gid:10300, code:000504, symbol:南华生物 
gid:10400, code:000505, symbol:珠江控股 
gid:10500, code:000506, symbol:中润资源 
gid:10600, code:000507, symbol:珠海港 
gid:10700, code:000509, symbol:华塑控股 
gid:10800, code:000510, symbol:金路集团 
gid:10900, code:000513, symbol:丽珠集团 
gid:11000, code:000514, symbol:渝 开 发 
gid:11100, code:000516, symbol:国际医学 
gid:11200, code:000517, symbol:荣安地产 
gid:11300, code:000518, symbol:四环生物 
gid:11400, code:000519, symbol:中兵红箭 
gid:11500, code:000520, symbol:长航凤凰 
gid:11600, code:000521, symbol:美菱电器 
gid:11700, code:000523, symbol:广州浪奇 
gid:11800, code:000524, symbol:岭南控股 
gid:11900, code:000525, symbol:红 太 阳 
gid:12000, code:000526, symbol:*ST紫学 
gid:12100, code:000528, symbol:柳 工 
gid:12200, code:000529, symbol:广弘控股 
